N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source
15.0,5.0,47.8,0.35847907949790797,1,Hanna2007
31.0,7.0,67.7,0.49677282127031014,0,Hanna2007
7.0,94.0,98.6,0.3957331845841785,1,Hanna2007
18.0,21.0,126.9,0.1852278723404255,0,Hanna2007
9.0,57.0,49.1,0.213642,1,Hanna2007
42.0,42.0,158.9,0.3362237369414727,0,Hanna2007
9.0,54.0,48.7,0.6912780030800822,1,Hanna2007
20.0,1.0,79.1,0.40354530973451336,0,Hanna2007
7.0,99.0,73.8,0.4600802168021681,1,Hanna2007
5.0,70.0,39.0,0.1510824,1,Hanna2007
30.0,20.0,180.0,0.3452678522222223,0,Hanna2007
26.0,51.0,134.6,0.6300248432392274,0,Hanna2007
13.0,40.0,121.7,0.6746535546425638,1,Hanna2007
26.0,36.0,73.4,0.6135945803814714,0,Hanna2007
33.0,10.0,109.3,0.4193029277218664,0,Hanna2007
7.0,59.0,28.9,0.4552145674740485,1,Hanna2007
5.0,99.0,48.2,0.16376116182572614,1,Hanna2007
9.0,15.0,37.1,0.11923813746630726,1,Hanna2007
23.0,18.0,132.3,0.16630758503401358,0,Hanna2007
36.0,19.0,188.2,0.3311430042507971,0,Hanna2007
9.0,31.0,43.1,0.5343372807424595,1,Hanna2007
6.0,90.0,14.0,0.2981735714285715,0,Hanna2007
8.0,94.0,20.6,0.37947,0,Hanna2007
7.0,100.0,27.3,0.41734857142857146,0,Hanna2007
5.0,87.0,34.0,0.4376006470588235,0,Hanna2007
5.0,74.0,41.5,0.4449733975903615,1,Hanna2007
3.0,92.0,47.8,0.4533274058577406,0,Hanna2007
3.0,97.0,55.9,0.4579627906976745,0,Hanna2007
19.0,70.0,65.6,0.4536940548780488,1,Hanna2007
26.0,58.0,75.2,0.4487765957446808,0,Hanna2007
48.0,5.0,85.0,0.4426561176470588,0,Hanna2007
3.0,74.0,15.8,0.29175949367088605,1,Hanna2007
5.0,86.0,22.6,0.36715681415929197,1,Hanna2007
2.0,85.0,36.2,0.4253197790055248,0,Hanna2007
10.0,93.0,43.2,0.4364858333333334,1,Hanna2007
4.0,99.0,57.3,0.4521413612565446,0,Hanna2007
11.0,85.0,66.1,0.45167034795764005,1,Hanna2007
39.0,8.0,79.0,0.4485312658227848,0,Hanna2007
25.0,6.0,94.4,0.43684957627118637,0,Hanna2007
7.0,99.0,19.4,0.3951182474226805,0,Hanna2007
4.0,99.0,27.9,0.4356668100358423,0,Hanna2007
6.0,79.0,36.1,0.44896454293628807,1,Hanna2007
5.0,96.0,51.0,0.46651341176470595,1,Hanna2007
17.0,88.0,59.1,0.46453553299492384,1,Hanna2007
49.0,9.0,79.2,0.44997645202020203,0,Hanna2007
7.0,97.0,41.3,0.4378000242130751,1,Hanna2007
3.0,98.0,48.7,0.4469250513347023,0,Hanna2007
18.0,92.0,62.2,0.45194855305466236,0,Hanna2007
32.0,66.0,76.1,0.44467174770039425,0,Hanna2007
75.0,8.0,92.5,0.43216145945945955,0,Hanna2007
33.0,7.0,126.4,0.40645569620253164,0,Hanna2007
10.0,100.0,147.9,0.3946893171061528,0,Hanna2007
3.0,96.0,25.1,0.2557819920318725,0,Hanna2007
3.0,82.0,42.7,0.2516154566744731,0,Hanna2007
10.0,21.0,54.6,0.26439761904761905,1,Hanna2007
12.0,14.0,61.3,0.2873364763458402,1,Hanna2007
31.0,29.0,70.3,0.30550000000000005,0,Hanna2007
33.0,5.0,85.4,0.3214221077283373,0,Hanna2007
31.0,5.0,106.2,0.33436685499058383,0,Hanna2007
8.0,100.0,128.3,0.34539216679657053,0,Hanna2007
12.0,100.0,145.1,0.347287966919366,0,Hanna2007
9.0,36.0,157.3,0.34577165289256195,1,Hanna2007
9.0,100.0,177.1,0.34153224167137214,0,Hanna2007
4.0,87.0,21.5,0.25454,0,Hanna2007
2.0,91.0,37.6,0.3354691489361702,1,Hanna2007
25.0,5.0,56.2,0.37153537366548045,0,Hanna2007
31.0,3.0,85.0,0.37834282352941173,0,Hanna2007
35.0,4.0,96.6,0.37849109730848873,0,Hanna2007
3.0,99.0,25.7,0.2825107392996109,0,Hanna2007
4.0,99.0,32.2,0.335215900621118,0,Hanna2007
11.0,98.0,45.9,0.38692588235294123,1,Hanna2007
18.0,67.0,53.4,0.3981310861423222,1,Hanna2007
48.0,53.0,62.8,0.4061382165605096,0,Hanna2007
13.0,89.0,99.3,0.40410441087613297,1,Hanna2007
3.0,97.0,25.3,0.2894226482213439,1,Hanna2007
9.0,99.0,38.4,0.3732692708333334,0,Hanna2007
10.0,87.0,52.6,0.4039258174904943,0,Hanna2007
47.0,71.0,60.4,0.40940529801324504,0,Hanna2007
16.0,92.0,67.9,0.4129701767304859,1,Hanna2007
7.0,99.0,77.1,0.4173967833981842,0,Hanna2007
9.0,99.0,89.0,0.41846561797752807,1,Hanna2007
10.0,28.0,43.2,0.38706657407407413,1,Hanna2007
4.0,88.0,49.8,0.4024612048192771,1,Hanna2007
24.0,97.0,57.7,0.41219124783362215,0,Hanna2007
12.0,83.0,68.5,0.41823467153284666,1,Hanna2007
6.0,98.0,76.5,0.4223632026143791,0,Hanna2007
23.0,75.0,97.3,0.41552409044193217,1,Hanna2007
4.0,99.0,14.3,0.42541999999999996,0,Hanna2007
2.0,99.0,22.2,0.4719257657657657,0,Hanna2007
3.0,99.0,30.9,0.4903082524271845,0,Hanna2007
7.0,51.0,39.3,0.48753374045801534,1,Hanna2007
1.0,96.0,26.7,0.48172059925093624,0,Hanna2007
5.0,100.0,44.2,0.49325764705882347,0,Hanna2007
55.0,99.0,51.7,0.4910479690522244,0,Hanna2007
44.0,4.0,63.4,0.47347476340694017,0,Hanna2007
3.0,94.0,14.7,0.2630687074829932,1,Hanna2007
1.0,87.0,21.5,0.3518186976744186,1,Hanna2007
16.0,99.0,26.9,0.3935157992565056,0,Hanna2007
6.0,84.0,14.7,0.2630687074829932,1,Hanna2007
4.0,72.0,22.2,0.3538535585585586,1,Hanna2007
4.0,99.0,30.9,0.38247177993527504,0,Hanna2007
7.0,99.0,36.9,0.40384658536585366,0,Hanna2007
1.0,81.0,21.6,0.25571,0,Hanna2007
