N1_60,FCI,sigma_v_eff_kpa,CSR7.5,T,Source,CRR_target
2.0,85.0,36.2,0.4253197790055248,0,Hanna2007,1.339660827594142
10.0,93.0,43.2,0.4364858333333334,1,Hanna2007,0.3325550471945864
4.0,99.0,57.3,0.4521413612565446,0,Hanna2007,1.3978120218774015
11.0,85.0,66.1,0.45167034795764005,1,Hanna2007,0.18119037468659208
39.0,8.0,79.0,0.4485312658227848,0,Hanna2007,1.3098138796898373
25.0,6.0,94.4,0.43684957627118637,0,Hanna2007,0.39144971613223767
7.0,99.0,19.4,0.3951182474226805,0,Hanna2007,1.5109007771501048
4.0,99.0,27.9,0.4356668100358423,0,Hanna2007,1.5037368478764241
6.0,79.0,36.1,0.44896454293628807,1,Hanna2007,0.18745184444750565
5.0,96.0,51.0,0.46651341176470595,1,Hanna2007,1.3782360568992689
17.0,88.0,59.1,0.46453553299492384,1,Hanna2007,0.2991559931038028
49.0,9.0,79.2,0.44997645202020203,0,Hanna2007,1.6000081733263896
7.0,97.0,41.3,0.4378000242130751,1,Hanna2007,1.3633790785782385
3.0,98.0,48.7,0.4469250513347023,0,Hanna2007,1.4077572144690125
18.0,92.0,62.2,0.45194855305466236,0,Hanna2007,0.32891640820762036
32.0,66.0,76.1,0.44467174770039425,0,Hanna2007,1.1485711860582815
75.0,8.0,92.5,0.43216145945945955,0,Hanna2007,2.9828622127730435
33.0,7.0,126.4,0.40645569620253164,0,Hanna2007,1.3755873419764941
10.0,100.0,147.9,0.3946893171061528,0,Hanna2007,1.557452712465009
3.0,96.0,25.1,0.2557819920318725,0,Hanna2007,1.4995260367717198
3.0,82.0,42.7,0.2516154566744731,0,Hanna2007,0.16739428350495936
10.0,21.0,54.6,0.26439761904761905,1,Hanna2007,0.17320141254273466
12.0,14.0,61.3,0.2873364763458402,1,Hanna2007,0.23476472245465474
31.0,29.0,70.3,0.30550000000000005,0,Hanna2007,1.045102766642609
33.0,5.0,85.4,0.3214221077283373,0,Hanna2007,1.008193189564845
31.0,5.0,106.2,0.33436685499058383,0,Hanna2007,0.8784315520692342
8.0,100.0,128.3,0.34539216679657053,0,Hanna2007,1.3613253264841894
12.0,100.0,145.1,0.347287966919366,0,Hanna2007,1.5316861062906166
9.0,36.0,157.3,0.34577165289256195,1,Hanna2007,0.1817968098187445
9.0,100.0,177.1,0.34153224167137214,0,Hanna2007,1.7941963070015439
4.0,87.0,21.5,0.25454,0,Hanna2007,0.49030071425806004
2.0,91.0,37.6,0.3354691489361702,1,Hanna2007,1.3879396767344307
25.0,5.0,56.2,0.37153537366548045,0,Hanna2007,0.33997634584439157
31.0,3.0,85.0,0.37834282352941173,0,Hanna2007,0.8531521147200004
35.0,4.0,96.6,0.37849109730848873,0,Hanna2007,1.2450826109449264
3.0,99.0,25.7,0.2825107392996109,0,Hanna2007,1.5195894173396738
4.0,99.0,32.2,0.335215900621118,0,Hanna2007,1.4789714356286485
11.0,98.0,45.9,0.38692588235294123,1,Hanna2007,0.3927254955674608
18.0,67.0,53.4,0.3981310861423222,1,Hanna2007,0.27409789238951004
48.0,53.0,62.8,0.4061382165605096,0,Hanna2007,1.6031540490206087
13.0,89.0,99.3,0.40410441087613297,1,Hanna2007,0.8603403208854772
3.0,97.0,25.3,0.2894226482213439,1,Hanna2007,1.5062882536938902
9.0,99.0,38.4,0.3732692708333334,0,Hanna2007,1.3223504959379908
10.0,87.0,52.6,0.4039258174904943,0,Hanna2007,0.21661084391757418
