No,Site,Boring,Class,Liquefied,N60,Depth_m,FC_pct,GWT_m,PGA_g,sigma_v_prime_t_m2,sigma_v_t_m2,Mw_or_extra
1,Annan,BH-A1,Liq1,1,1.3,1.0,75.0,0.9,0.228,6.4,2.2,2.5
2,Annan,BH-A1,Liq2,1,6.5,2.0,33.0,0.9,0.228,6.4,7.0,12.6
3,Annan,BH-A2,Liq1,1,1.3,1.0,26.0,0.8,0.228,6.4,1.4,1.9
4,Annan,BH-A2,Liq2,1,6.5,3.0,65.0,0.8,0.228,6.4,5.9,11.6
5,Annan,BH-A3,Liq1,1,3.0,2.0,24.0,0.8,0.228,6.4,3.4,5.6
6,Annan,BH-A4,Liq1,1,1.4,43.0,0.6,0.228,6.4,2.1,3.0,nan
7,Annan,BH-A4,Liq2,1,7.3,19.0,0.6,0.228,6.4,7.4,14.1,nan
8,Annan,BH-A5,Liq1,1,1.3,28.0,0.6,0.228,6.4,1.8,2.5,nan
9,Annan,BH-A5,Liq2,1,4.3,99.0,0.6,0.228,6.4,4.6,8.3,nan
10,Annan,BH-A6,Liq1,1,1.3,23.0,0.6,0.228,6.4,1.8,2.5,nan
11,Annan,BH-A6,Liq2,1,4.3,97.0,0.6,0.228,6.4,4.6,8.3,nan
12,Chiuanshing Industrial Park,BS10-1,Liq1,1,2.7,2.0,36.0,1.1,0.124,7.6,3.4,5.0
13,Chiuanshing Industrial Park,BS10-1,Liq2,1,4.7,2.0,53.0,1.1,0.124,7.6,5.1,8.8
14,Chiuanshing Industrial Park,BS12-1,Liq1,1,7.7,4.0,52.0,1.1,0.124,7.6,7.8,14.4
15,Chiuanshing Industrial Park,BS12-1,Liq2,1,8.7,4.0,60.0,1.1,0.124,7.6,8.7,16.3
16,Chiuanshing Industrial Park,BS12-1,Liq3,1,2.7,5.0,7.0,1.1,0.124,7.6,3.4,5.0
17,Chiuanshing Industrial Park,BS12-1,Liq3,1,3.7,5.0,21.0,1.1,0.124,7.6,4.3,6.9
18,Chiuanshing Industrial Park,BS13-1,Liq1,1,3.7,4.0,30.0,1.1,0.124,7.6,4.4,7.0
19,Chiuanshing Industrial Park,BS15-1,Liq1,1,2.7,2.0,9.0,1.1,0.124,7.6,3.3,4.9
20,Chiuanshing Industrial Park,BS16-1,Liq1,1,5.7,2.0,33.0,1.1,0.124,7.6,6.5,11.1
21,Chiuanshing Industrial Park,BS16-1,Liq2,1,7.7,2.0,42.0,1.1,0.124,7.6,8.5,15.1
22,Chiuanshing Industrial Park,BS16-1,Liq3,1,4.7,5.0,54.0,1.1,0.124,7.6,5.4,9.1
23,Chiuanshing Industrial Park,BS21-1,Liq1,1,2.7,7.0,5.0,1.1,0.124,7.6,3.0,4.7
24,Chiuanshing Industrial Park,BS2-2,Liq1,1,2.7,3.0,46.0,1.1,0.124,7.6,6.2,7.8
25,Chiuanshing Industrial Park,BS5-1,Liq1,1,2.7,5.0,12.0,1.1,0.124,7.6,3.3,4.9
26,Chiuanshing Industrial Park,BS7-1,Liq1,1,8.7,12.0,4.0,1.1,0.124,7.6,9.6,17.2
27,Chiuanshing Industrial Park,DH-13,Liq1,1,2.8,4.0,80.0,1.4,0.165,7.6,3.7,5.2
28,Chiuanshing Industrial Park,DH-13,Liq2,1,3.8,3.0,24.0,1.4,0.165,7.6,4.7,7.1
29,Chiuanshing Industrial Park,DH-14,Liq1,1,7.8,11.0,25.0,1.4,0.165,7.6,8.5,14.9
30,Chiuanshing Industrial Park,DH-15,Liq1,1,1.8,2.0,68.0,1.5,0.165,7.6,3.3,3.5
31,Chiuanshing Industrial Park,DH-15,Liq2,1,4.8,3.0,79.0,1.5,0.165,7.6,6.3,9.6
32,Chiuanshing Industrial Park,DH-16,Liq1,1,1.8,2.0,65.0,1.3,0.165,7.6,2.9,3.4
33,Chiuanshing Industrial Park,DH-16,Liq2,1,8.8,5.0,31.0,1.3,0.165,7.6,10.0,17.5
34,Chiuanshing Industrial Park,DH-17,Liq1,1,3.8,5.0,69.0,1.3,0.165,7.6,4.9,7.4
35,Chiuanshing Industrial Park,DH-17,Liq2,1,4.8,5.0,76.0,1.3,0.165,7.6,5.9,9.3
36,Chiuanshing Industrial Park,DH-17,Liq3,1,1.8,3.0,73.0,1.3,0.165,7.6,3.0,3.5
37,Dacun Shiang,BH-01,Liq1,1,7.3,7.0,28.0,3.4,0.211,7.6,9.5,13.4
38,Maolo River,A125-5,Liq1,1,5.3,14.0,16.0,4.1,0.42,7.6,8.4,9.7
39,Maolo River,A125-5,Liq2,1,8.3,11.0,38.0,4.1,0.42,7.6,12.0,16.2
40,Maolo River,A125-7,Liq1,1,3.2,8.0,83.0,2.9,0.42,7.6,5.6,5.9
41,Maolo River,A125-9,Liq1,1,4.3,6.0,11.0,2.9,0.42,7.6,7.2,8.5
42,Maolo River,A125-9,Liq2,1,19.3,6.0,0.0,2.9,0.42,7.6,25.3,41.6
43,Maolo River,A126-1,Liq1,1,2.8,8.0,29.0,1.4,0.42,7.6,3.5,4.9
44,Maolo River,A126-1,Liq2,1,4.3,6.0,13.0,1.4,0.42,7.6,4.9,7.8
45,Maolo River,A126-2,Liq1,1,5.8,13.0,34.0,3.5,0.42,7.6,8.1,10.4
46,Maolo River,A126-2,Liq2,1,8.8,11.0,41.0,3.5,0.42,7.6,11.1,16.4
47,Maolo River,A126-4,Liq1,1,1.8,3.0,23.0,1.7,0.42,7.6,3.2,3.4
48,Maolo River,A128-2,Liq1,1,1.8,8.0,0.0,1.7,0.42,7.6,3.2,3.3
49,Maolo River,A128-2,Liq2,1,2.8,2.0,18.0,1.7,0.42,7.6,4.1,5.2
50,Maolo River,A128-5,Liq1,1,4.3,12.0,29.0,2.5,0.42,7.6,6.3,8.1
51,Maolo River,A128-5,Liq2,1,7.3,7.0,16.0,2.5,0.42,7.6,9.5,14.3
52,Maolo River,A128-7,Liq1,1,1.8,3.0,77.0,1.7,0.42,7.6,3.2,3.4
53,Maolo River,A128-7,Liq2,1,5.8,6.0,23.0,1.7,0.42,7.6,6.8,10.9
54,Maolo River,A129-1,Liq1,1,2.8,2.0,30.0,2.6,0.42,7.6,5.1,5.3
55,Maolo River,A129-3,Liq1,1,1.9,2.0,56.0,1.5,0.42,7.6,3.2,3.5
56,Maolo River,A129-3,Liq2,1,6.8,4.0,17.0,1.5,0.42,7.6,7.8,13.0
57,Maolo River,A130-1,Liq1,1,3.3,3.0,80.0,3.1,0.42,7.6,5.6,5.8
58,Maolo River,A130-2,Liq1,1,11.8,21.0,18.0,3.0,0.42,7.6,15.9,24.7
59,Maolo River,A130-2,Liq2,1,13.3,16.0,18.0,3.0,0.42,7.6,18.0,28.2
60,Maolo River,A130-2,Liq3,1,8.8,28.0,0.0,3.0,0.42,7.6,11.7,17.5
61,Mingjian Shiang,A133-3,Liq1,1,5.8,46.0,0.0,4.8,1.0,7.6,25.1,26.0
62,Mingjian Shiang,A133-3,Liq2,1,7.3,8.0,59.0,4.8,1.0,7.6,26.7,29.2
63,Mingjian Shiang,A133-3,Liq3,1,4.9,12.0,41.0,4.8,1.0,7.6,24.2,24.2
64,Mingjian Shiang,A133-4,Liq1,1,2.8,6.0,34.0,1.9,1.0,7.6,18.7,19.5
65,Mingjian Shiang,A133-4,Liq3,1,2.0,4.0,34.0,1.9,1.0,7.6,17.9,18.0
66,Mingjian Shiang,A134-2,Liq1,1,4.3,9.0,61.0,3.5,1.0,7.6,22.0,22.7
67,Mingjian Shiang,RBH1,Liq1,1,14.8,24.0,55.0,7.0,1.0,7.6,23.9,31.7
68,Mingjian Shiang,RBH1,Liq3,1,11.8,32.0,41.0,7.0,1.0,7.6,20.4,25.2
69,Mingjian Shiang,RBH2,Liq1,1,19.3,26.0,17.0,8.8,1.0,7.6,32.1,42.6
70,Mingjian Shiang,RBH3,Liq1,1,1.8,8.0,27.0,1.5,1.0,7.6,3.8,4.1
71,Mingjian Shiang,RBH3,Liq2,1,14.8,12.0,49.0,1.5,1.0,7.6,17.8,31.1
72,Nangang Bridge,RBH-1,Liq1,1,3.6,4.0,63.0,2.2,0.428,7.6,5.1,6.5
73,Nangang Bridge,RBH-1,Liq2,1,5.1,3.0,22.0,2.2,0.428,7.6,6.4,9.3
74,Nangang Bridge,RBH-1,Liq3,1,2.3,4.0,63.0,2.2,0.428,7.6,4.1,4.2
75,Nangang Industrial Park,B1,Liq1,1,4.2,12.0,26.0,2.0,0.428,7.6,5.8,8.1
76,Nangang Industrial Park,B2,Liq1,1,4.2,11.0,25.0,2.1,0.428,7.6,5.9,8.1
77,Nangang Industrial Park,BHA-1,Liq1,1,4.3,9.0,57.0,2.3,0.428,7.6,6.2,8.2
78,Nangang Industrial Park,BHA-1,Liq2,1,7.3,4.0,17.0,2.3,0.428,7.6,9.0,14.0
79,Nangang Industrial Park,BHA-2,Liq1,1,3.0,4.0,61.0,2.3,0.428,7.6,5.0,5.7
80,Nangang Industrial Park,BHA-3,Liq1,1,2.5,8.0,42.0,2.3,0.428,7.6,4.9,5.1
81,Nangang Industrial Park,BHA-4,Liq1,1,4.6,19.0,28.0,2.3,0.428,7.6,7.2,9.5
82,Nantou City,BH-3,Liq1,1,4.8,9.0,20.0,4.0,0.428,7.6,8.7,9.5
83,Nantou City,BH-3,Liq2,1,5.7,7.0,18.0,4.0,0.428,7.6,9.6,11.4
84,Nantou City,BH-4,Liq1,1,12.7,17.0,44.0,5.0,0.428,7.6,18.6,26.4
85,Nantou City,BH-4,Liq3,1,5.1,7.0,82.0,5.0,0.428,7.6,10.7,10.8
86,Nantou City,BH-5,Liq1,1,3.3,5.0,97.0,2.8,0.428,7.6,5.4,5.9
87,Nantou City,BH-5,Liq2,1,4.8,10.0,14.0,2.8,0.428,7.6,6.8,8.9
88,Nantou City,BH-6,Liq1,1,2.7,13.0,14.0,1.2,0.428,7.6,4.2,5.8
89,Nantou City,BH-6,Liq2,1,5.7,16.0,15.0,1.2,0.428,7.6,8.1,12.6
90,Nantou City,BH-7,Liq1,1,2.7,6.0,22.0,0.7,0.428,7.6,3.0,5.1
91,Nantou City,BH-8,Liq1,1,7.2,11.0,21.0,5.0,0.428,7.6,12.3,14.5
92,Nantou City,BH-10,Liq1,1,2.7,5.0,24.0,2.4,0.428,7.6,5.1,5.5
93,Nantou City,BH-11,Liq1,1,7.7,12.0,55.0,2.8,0.428,7.6,9.6,14.5
94,Nantou City,BH-12,Liq1,1,5.7,4.0,35.0,2.8,0.428,7.6,8.1,11.0
95,Nantou City,BH-14,Liq1,1,3.7,10.0,30.0,1.5,0.428,7.6,5.0,7.2
96,Nantou City,BH-14,Liq2,1,5.7,10.0,30.0,1.5,0.428,7.6,6.8,11.0
97,Nantou City,RBH-1,Liq1,1,3.1,5.0,63.0,2.3,0.428,7.6,5.0,5.8
98,Nantou City,RBH-1,Liq2,1,6.1,7.0,61.0,2.3,0.428,7.6,7.7,11.5
99,Nantou City,RBH-2,Liq1,1,1.5,4.0,42.0,1.2,0.428,7.6,2.7,3.0
100,Nantou City,RBH-2,Liq2,1,4.3,3.0,62.0,1.2,0.428,7.6,5.4,8.5
101,Sinshih,BH-S1,Liq1,1,4.8,7.0,88.0,0.7,0.294,6.4,5.0,9.1
102,Sinshih,BH-S2,Liq1,1,8.3,4.0,84.0,0.6,0.294,6.4,8.9,16.6
103,Sinshih,BH-S3,Liq1,1,3.0,2.0,52.0,0.9,0.294,6.4,3.9,6.0
104,Sinshih,BH-S4,Liq1,1,1.3,58.0,0.6,0.294,6.4,1.6,2.4,nan
105,Sinshih,BH-S4,Liq2,1,2.8,2.0,67.0,0.6,0.294,6.4,2.9,5.1
106,Sinshih,BH-S5,Liq1,1,1.3,13.0,0.6,0.294,6.4,1.7,2.4,nan
107,Sinshih,BH-S5,Liq2,1,2.8,44.0,0.6,0.294,6.4,3.1,5.4,nan
108,Sinshih,BH-S6,Liq1,1,1.4,17.0,0.5,0.294,6.4,1.8,2.7,nan
109,Sinshih,BH-S6,Liq2,1,2.8,29.0,0.5,0.294,6.4,3.1,5.4,nan
110,Sinshih,BH-S7,Liq1,1,2.8,2.0,9.0,0.7,0.294,6.4,3.7,5.7
111,Taichung,RBH-1,Liq1,1,2.9,3.0,24.0,2.7,0.498,7.6,5.5,5.7
112,Taichung,RBH-1,Liq2,1,4.3,3.0,24.0,2.7,0.498,7.6,6.8,8.4
113,Taichung Harbour,BH-1,Liq1,1,7.8,11.0,16.0,3.8,0.165,7.6,11.5,15.5
114,Taichung Harbour,BH-2,Liq1,1,7.8,9.0,11.0,3.1,0.165,7.6,9.7,14.4
115,Taichung Harbour,BH-2,Liq2,1,9.8,10.0,9.0,3.1,0.165,7.6,11.6,18.3
116,Taichung Harbour,BH-3,Liq1,1,5.2,8.0,16.0,2.8,0.165,7.6,7.6,10.0
117,Taichung Harbour,BH-4,Liq1,1,3.8,9.0,11.0,2.3,0.165,7.6,6.0,7.5
118,Taichung Harbour,BH-5,Liq1,1,7.8,9.0,14.0,3.0,0.165,7.6,9.6,14.4
119,Taichung Harbour,BH-5,Liq2,1,10.0,8.0,45.0,3.0,0.165,7.6,11.7,18.7
120,Taichung Harbour,BH-6,Liq1,1,5.2,6.0,15.0,3.0,0.165,7.6,8.1,10.4
121,Taichung Harbour,BH-6,Liq2,1,7.8,7.0,18.0,3.0,0.165,7.6,10.7,15.5
122,Taichung Harbour,BH-7,Liq1,1,5.2,6.0,15.0,2.4,0.165,7.6,7.0,9.8
123,Taichung Harbour,BH-7,Liq3,1,3.8,6.0,27.0,2.4,0.165,7.6,5.7,7.1
124,Taichung Harbour,BH-8,Liq1,1,7.8,6.0,13.0,3.8,0.165,7.6,10.5,14.5
125,Taichung Harbour,BH-8,Liq3,1,4.2,5.0,16.0,3.8,0.165,7.6,7.0,7.4
126,Taichung Harbour,BH-8,Liq3,1,5.2,6.0,11.0,3.8,0.165,7.6,8.1,9.5
127,Taichung Harbour,BH-9,Liq1,1,3.8,9.0,19.0,1.3,0.165,7.6,5.0,7.5
128,Taichung Harbour,BH-10,Liq1,1,3.8,7.0,28.0,1.6,0.165,7.6,4.3,6.5
129,Taichung Harbour,BH-11,Liq1,1,7.8,7.0,19.0,2.4,0.165,7.6,10.0,15.4
130,Taichung Harbour,BH-11,Liq3,1,3.8,5.0,36.0,2.4,0.165,7.6,6.2,7.6
131,Taichung Harbour,BH-11,Liq3,1,5.2,7.0,35.0,2.4,0.165,7.6,7.6,10.4
132,Taichung Harbour,BH-12,Liq1,1,5.2,7.0,9.0,3.1,0.165,7.6,8.2,10.3
133,Taichung Harbour,BH-12,Liq2,1,7.8,7.0,17.0,3.1,0.165,7.6,10.7,15.3
134,Taichung Harbour,BH-12,Liq3,1,3.8,6.0,9.0,3.1,0.165,7.6,6.8,7.5
135,Taichung Harbour No.3,B1,Liq1,1,7.3,6.0,22.0,2.7,0.165,7.6,9.2,13.9
136,Taichung Harbour No.3,B2,Liq1,1,7.3,6.0,13.0,2.8,0.165,7.6,9.7,14.1
137,Taichung Harbour No.3,B2,Liq2,1,10.3,6.0,13.0,2.8,0.165,7.6,12.5,19.9
138,Taichung Harbour No.3,B3,Liq1,1,10.9,10.0,13.0,2.8,0.165,7.6,12.7,20.9
139,Taichung Harbour No.3,B3,Liq3,1,8.8,11.0,13.0,2.8,0.165,7.6,10.8,16.7
140,Taichung Harbour No.3,B4,Liq1,1,11.8,12.0,12.0,2.8,0.165,7.6,12.2,21.2
141,Taichung Harbour No.3,B5,Liq1,1,5.8,5.0,40.0,2.8,0.165,7.6,8.0,11.0
142,Taichung Harbour No.3,B5,Liq2,1,8.8,7.0,42.0,2.8,0.165,7.6,10.3,16.4
143,Taichung Harbour No.3,B6,Liq1,1,5.8,4.0,30.0,2.8,0.165,7.6,8.5,11.5
144,Taichung Harbour No.3,B6,Liq2,1,7.3,5.0,30.0,2.8,0.165,7.6,9.9,14.4
145,Taichung Harbour No.3,B7,Liq1,1,8.8,6.0,44.0,2.8,0.165,7.6,10.2,16.2
146,Taiping City,RBH1,Liq1,1,14.9,25.0,51.0,2.7,0.498,7.6,19.2,31.4
147,Taiping City,RBH2,Liq1,1,4.3,14.0,69.0,2.7,0.498,7.6,7.5,9.1
148,Taiping City,RBH2,Liq2,1,14.8,23.0,54.0,2.7,0.498,7.6,18.7,30.8
149,Tsautuen Jen,BH-1,Liq1,1,2.7,2.0,55.0,1.5,0.33,7.6,4.2,5.4
150,Tsautuen Jen,BH-1,Liq3,1,1.7,4.0,54.0,1.5,0.33,7.6,3.2,3.4
151,Tsautuen Jen,BH-2,Liq1,1,2.7,8.0,15.0,1.5,0.33,7.6,4.1,5.3
152,Tsautuen Jen,BH-2,Liq2,1,5.7,6.0,47.0,1.5,0.33,7.6,7.0,11.2
153,Tsautuen Jen,BH-2,Liq3,1,1.7,2.0,25.0,1.5,0.33,7.6,3.1,3.3
154,Wufeng Shiang,B-3,Liq1,1,17.7,23.0,51.0,1.3,0.789,7.6,19.6,36.0
155,Wufeng Shiang,B-3,Liq2,1,19.2,22.0,56.0,1.3,0.789,7.6,21.2,39.1
156,Wufeng Shiang,B-5,Liq1,1,1.2,3.0,55.0,1.2,0.789,7.6,2.5,2.5
157,Wufeng Shiang,B-7,Liq1,1,3.7,12.0,20.0,3.2,0.789,7.6,6.7,7.3
158,Wufeng Shiang,B-8,Liq1,1,1.2,2.0,65.0,0.5,0.789,7.6,1.6,2.4
159,Wufeng Shiang,B-9,Liq1,1,2.5,5.0,38.0,2.0,0.789,7.6,4.3,4.8
160,Wufeng Shiang,B-9,Liq2,1,6.7,10.0,15.0,2.0,0.789,7.6,8.8,13.5
161,Wufeng Shiang,B-10,Liq1,1,3.7,9.0,69.0,1.4,0.789,7.6,5.2,7.6
162,Wufeng Shiang,B-10,Liq2,1,5.7,11.0,22.0,1.4,0.789,7.6,7.2,11.5
163,Wufeng Shiang,B-11,Liq1,1,3.7,7.0,45.0,0.9,0.789,7.6,4.7,7.5
164,Wufeng Shiang,B-12,Liq1,1,13.2,25.0,43.0,4.2,0.789,7.6,18.6,27.6
165,Wufeng Shiang,B-12,Liq2,1,14.7,26.0,39.0,4.2,0.789,7.6,20.3,30.8
166,Wufeng Shiang,B-13,Liq1,1,1.2,2.0,30.0,0.9,0.789,7.6,2.1,2.4
167,Wufeng Shiang,B-13,Liq2,1,2.7,3.0,38.0,0.9,0.789,7.6,3.5,5.3
168,Wufeng Shiang,BHA-1,Liq1,1,3.2,13.0,14.0,2.3,0.789,7.6,5.3,6.3
169,Wufeng Shiang,BHA-2,Liq1,1,2.6,15.0,20.0,2.3,0.789,7.6,4.8,5.2
170,Wufeng Shiang,BHA-3,Liq1,1,3.4,16.0,14.0,2.3,0.789,7.6,5.4,6.6
171,Wufeng Shiang,BHA-3,Liq3,1,2.4,2.0,33.0,2.3,0.789,7.6,4.5,4.7
172,Wufeng Shiang,BHA-4,Liq1,1,2.6,18.0,18.0,2.3,0.789,7.6,5.1,5.4
173,Wufeng Shiang,MBH-01,Liq1,1,2.9,9.0,44.0,2.7,0.789,7.6,5.7,5.9
174,Wufeng Shiang,MBH-01,Liq2,1,11.9,12.0,68.0,2.7,0.789,7.6,15.6,24.8
175,Wufeng Shiang,MBH-02,Liq1,1,4.3,7.0,27.0,2.3,0.789,7.6,6.6,8.6
176,Wufeng Shiang,MBH-03,Liq1,1,2.9,3.0,46.0,2.8,0.789,7.6,5.5,5.7
177,Wufeng Shiang,MBH-03,Liq2,1,5.9,6.0,27.0,2.8,0.789,7.6,8.4,11.5
178,Wufeng Shiang,MBH-04,Liq1,1,2.9,4.0,53.0,2.6,0.789,7.6,5.3,5.7
179,Wufeng Shiang,MBH-05,Liq1,1,2.9,4.0,33.0,2.7,0.789,7.6,5.6,5.8
180,Wufeng Shiang,MBH-05,Liq2,1,4.3,5.0,43.0,2.7,0.789,7.6,6.9,8.5
181,Wufeng Shiang,MBH-06,Liq1,1,2.9,8.0,30.0,1.9,0.789,7.6,4.9,5.9
182,Wufeng Shiang,RBH-1,Liq1,1,2.9,7.0,36.0,2.3,0.789,7.6,5.2,5.7
183,Wufeng Shiang,RBH-1,Liq2,1,9.1,7.0,42.0,2.3,0.789,7.6,11.8,18.5
184,Wufeng Shiang,RBH-2,Liq1,1,2.5,6.0,41.0,2.3,0.789,7.6,4.7,4.9
185,Yuanlin elementary school,BH-01,Liq1,1,4.3,6.0,40.0,1.8,0.211,7.6,6.0,8.5
186,Yuanlin elementary school,BH-01,Liq2,1,10.3,8.0,29.0,1.8,0.211,7.6,11.4,19.9
187,Yuanlin Jen,BH-6,Liq1,1,4.3,5.0,15.0,2.0,0.21,7.6,5.8,8.1
188,Yuanlin Jen,BH-6,Liq2,1,5.8,5.0,10.0,2.0,0.21,7.6,7.3,11.1
189,Yuanlin Jen,BH-7,Liq1,1,4.3,4.0,9.0,1.6,0.21,7.6,5.4,8.0
190,Yuanlin Jen,BH-8,Liq1,1,5.8,6.0,10.0,1.6,0.21,7.6,6.3,10.4
191,Yuanlin Jen,BH-9,Liq1,1,2.2,3.0,53.0,1.6,0.21,7.6,3.8,4.4
192,Yuanlin Jen,BH-9,Liq2,1,8.8,7.0,36.0,1.6,0.21,7.6,9.5,16.6
193,Yuanlin Jen,BH-10,Liq1,1,5.8,7.0,8.0,2.0,0.21,7.6,7.1,10.9
194,Yuanlin Jen,BH-10,Liq1,1,8.8,4.0,30.0,1.7,0.21,7.6,9.8,16.9
195,Yuanlin Jen,BH-12,Liq1,1,5.8,3.0,33.0,2.5,0.21,7.6,7.4,10.7
196,Yuanlin Jen,BH-13,Liq1,1,2.8,3.0,70.0,1.8,0.21,7.6,4.4,5.4
197,Yuanlin Jen,BH-13,Liq2,1,5.8,4.0,90.0,1.8,0.21,7.6,7.4,11.4
198,Yuanlin Jen,BH-14,Liq1,1,2.8,3.0,27.0,1.6,0.21,7.6,4.3,5.5
199,Yuanlin Jen,BH-15,Liq1,1,6.6,3.0,55.0,0.9,0.21,7.6,6.6,12.3
200,Yuanlin Jen,BH-17,Liq1,1,12.2,10.0,24.0,4.5,0.21,7.6,16.2,23.9
201,Yuanlin Jen,BH-18,Liq1,1,2.8,3.0,47.0,0.6,0.21,7.6,3.0,5.2
202,Yuanlin Jen,BH-18,Liq2,1,4.3,3.0,98.0,0.6,0.21,7.6,4.4,8.1
203,Yuanlin Jen,BH-19,Liq1,1,2.8,3.0,12.0,2.1,0.21,7.6,5.1,5.7
204,Yuanlin Jen,BH-19,Liq2,1,8.8,4.0,46.0,2.1,0.21,7.6,11.0,17.6
205,Yuanlin Jen,BH-20,Liq1,1,14.8,19.0,4.0,1.5,0.21,7.6,15.8,29.1
206,Yuanlin Jen,BH-20,Liq3,1,13.3,20.0,11.0,1.5,0.21,7.6,14.2,25.9
207,Yuanlin Jen,BH-21,Liq1,1,1.3,2.0,7.0,0.7,0.21,7.6,2.0,2.6
208,Yuanlin Jen,BH-22,Liq1,1,2.8,4.0,17.0,2.5,0.21,7.6,5.3,5.6
209,Yuanlin Jen,BH-22,Liq2,1,4.3,2.0,10.0,2.5,0.21,7.6,6.7,8.5
210,Yuanlin Jen,BH-23,Liq1,1,5.8,10.0,14.0,1.7,0.21,7.6,7.0,11.1
211,Yuanlin Jen,BH-23,Liq2,1,11.8,9.0,29.0,1.7,0.21,7.6,12.7,22.8
212,Yuanlin Jen,BH-23,Liq3,1,1.9,3.0,8.0,1.7,0.21,7.6,3.3,3.4
213,Yuanlin Jen,BH-24,Liq1,1,12.2,6.0,64.0,2.3,0.21,7.6,13.8,23.6
214,Yuanlin Jen,BH-25,Liq1,1,5.8,6.0,57.0,0.8,0.21,7.6,6.2,11.1
215,Yuanlin Jen,BH-26,Liq1,1,2.8,4.0,19.0,1.0,0.21,7.6,3.5,5.3
216,Yuanlin Jen,BH-26,Liq2,1,5.8,5.0,82.0,1.0,0.21,7.6,6.5,11.3
217,Yuanlin Jen,BH-27,Liq1,1,2.8,3.0,38.0,0.4,0.21,7.6,2.8,5.2
218,Yuanlin Jen,BH-27,Liq2,1,5.8,3.0,47.0,0.4,0.21,7.6,5.8,11.2
219,Yuanlin Jen,BH-28,Liq1,1,4.3,4.0,31.0,2.3,0.21,7.6,6.3,8.3
220,Yuanlin Jen,BH-28,Liq2,1,7.3,4.0,59.0,2.3,0.21,7.6,9.1,14.1
221,Yuanlin Jen,BH-29,Liq1,1,2.3,6.0,15.0,2.0,0.21,7.6,4.6,4.9
222,Yuanlin Jen,BH-29,Liq2,1,5.8,4.0,54.0,2.0,0.21,7.6,8.0,11.8
223,Yuanlin Jen,BH-30,Liq1,1,2.3,4.0,59.0,1.1,0.21,7.6,3.2,4.4
224,Yuanlin Jen,BH-30,Liq2,1,7.3,7.0,15.0,1.1,0.21,7.6,8.3,14.5
225,Yuanlin Jen,BH-31,Liq1,1,4.3,5.0,83.0,4.2,0.21,7.6,8.0,8.1
226,Yuanlin Jen,BH-31,Liq2,1,7.3,5.0,15.0,4.2,0.21,7.6,10.7,13.8
227,Yuanlin Jen,BH-32,Liq1,1,7.3,12.0,18.0,2.0,0.21,7.6,8.7,13.9
228,Yuanlin Jen,BH-33,Liq1,1,5.8,5.0,52.0,1.4,0.21,7.6,6.5,10.9
229,Yuanlin Jen,BH-34,Liq1,1,6.2,9.0,10.0,3.4,0.21,7.6,9.3,12.1
230,Yuanlin Jen,BH-34,Liq2,1,12.8,10.0,21.0,3.4,0.21,7.6,15.7,25.1
231,Yuanlin Jen,BH-35,Liq1,1,5.8,4.0,53.0,2.3,0.21,7.6,8.2,11.7
232,Yuanlin Jen,BH-35,Liq3,1,4.3,9.0,26.0,2.3,0.21,7.6,6.7,8.7
233,Yuanlin Jen,BH-41,Liq1,1,1.3,2.0,88.0,0.9,0.21,7.6,1.9,2.3
234,Yuanlin Jen,BH-41,Liq2,1,7.3,5.0,64.0,0.9,0.21,7.6,7.1,13.4
235,Yuanlin Jen,BH-42,Liq1,1,8.8,8.0,30.0,2.0,0.21,7.6,10.2,16.9
236,Yuanlin Jen,BH-43,Liq1,1,10.5,14.0,15.0,0.5,0.21,7.6,9.1,19.1
237,Yuanlin Jen,BH-44,Liq1,1,2.8,4.0,36.0,1.4,0.21,7.6,4.0,5.3
238,Yuanlin Jen,BH-44,Liq2,1,8.8,5.0,25.0,1.4,0.21,7.6,9.5,16.9
239,Yuanlin Jen,BH-46,Liq1,1,2.8,5.0,38.0,1.0,0.21,7.6,4.2,6.0
240,Yuanlin Jen,BH-46,Liq2,1,7.3,2.0,79.0,1.0,0.21,7.6,8.2,14.5
241,Yuanlin Jen,BH-47,Liq1,1,2.8,4.0,30.0,2.3,0.21,7.6,4.9,5.4
242,Yuanlin Jen,BH-47,Liq2,1,7.3,6.0,94.0,2.3,0.21,7.6,8.8,13.8
243,Yuanlin Jen,BH-48,Liq1,1,12.2,13.0,15.0,7.3,0.21,7.6,17.7,22.5
244,Yuanlin Jen,BH-50,Liq1,1,4.3,4.0,19.0,2.3,0.21,7.6,5.8,7.8
245,Yuanlin Jen,NO.1,Liq1,1,2.8,5.0,26.0,0.6,0.211,7.6,3.0,5.2
246,Yuanlin Jen,NO.1,Liq2,1,7.3,7.0,47.0,0.6,0.211,7.6,7.0,13.7
247,Yuanlin Jen,NO.2,Liq1,1,2.8,4.0,26.0,0.5,0.211,7.6,2.9,5.2
248,Yuanlin Jen,NO.2,Liq2,1,7.3,7.0,13.0,0.5,0.211,7.6,7.0,13.8
249,Yuanlin Jen,NO.3,Liq1,1,1.3,6.0,0.0,1.2,0.211,7.6,2.3,2.4
250,Yuanlin Jen,NO.3,Liq2,1,8.8,12.0,14.0,1.2,0.211,7.6,9.3,16.8
251,Yuanlin Jen,NO.4,Liq1,1,1.3,4.0,34.0,1.1,0.211,7.6,2.4,2.6
