Location,"Lat,Long",Borehole ,Depth(ft),Depth-Z(m),GWT(m),N-06,N-12,N-18,N -Value,σv,σv',CE,CB,CS,CR,CN,(N1)60,Soil Type ,Soil USCS,FC,FCI,rd,CSR7.5,CRR,Rp,a(max),g,Mw,MSF,SL,γ,γw
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,5.0,1.524,1.5,2.0,2.0,2.0,4.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,3.264,,,,,0.97714,0.230630184417441,0.17688484306944,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,10.0,3.048,1.5,3.0,5.0,7.0,12.0,54.864,39.67812000000001,0.6,1.0,1.0,0.8,1.5875391959832383,9.144225768863452,,,,,0.95428,0.3087649967609352,0.3546094614358649,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,15.0,4.572,1.5,5.0,8.0,10.0,18.0,82.29599999999999,52.15968,0.6,1.0,1.0,0.8,1.3846261863803828,11.963170250326506,,,,,0.93142,0.3438786594334934,0.4414783883005406,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,20.0,6.096,1.5,7.0,11.0,14.0,25.0,109.728,64.64124000000001,0.6,1.0,1.0,0.95,1.2437845579554363,17.723929950864967,,,,,0.90856,0.3608919997995087,0.6228955975845093,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,25.0,7.62,1.5,11.0,15.0,22.0,37.0,137.16,77.12279999999998,0.6,1.0,1.0,0.95,1.1386981254861857,24.015143466503652,,,,,0.8857,0.368593090603557,0.8278250150176426,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,30.0,9.144,1.5,16.0,23.0,27.0,50.0,164.592,89.60436000000001,0.6,1.0,1.0,0.95,1.0564171157176023,30.107887797951665,,,,,0.86284,0.370873418877385,1.034077698378206,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,35.0,10.668,1.5,21.0,25.0,27.0,52.0,192.02400000000003,102.08592000000002,0.6,1.0,1.0,0.95,0.989730779407201,29.335620301629437,,,,,0.83998,0.3697212971943633,1.0074753048346177,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,40.0,12.192,1.5,22.0,27.0,28.0,55.0,219.456,114.56748,0.6,1.0,1.0,0.95,0.9342633658704876,29.289156520039786,,,,,0.8171200000000001,0.3662585708656592,1.0058791636742892,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,45.0,13.716,1.5,22.0,28.0,29.0,57.0,246.88800000000003,127.04904000000002,0.6,1.0,1.0,0.95,0.8871852363264341,28.82464832824584,,,,,0.79426,0.3611662356041414,0.9899494474476292,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,1,50.0,15.24,1.5,24.0,30.0,32.0,62.0,274.32,139.5306,0.6,1.0,1.0,0.95,0.8465746683009155,29.91794877775435,,,,,0.7714,0.3548816161616161,1.027521993738337,,3.5316,9.81,7.5,1.0,,18.0,9.81
"Salim Uddin, Baypass Road, 02.04.2022(03)",,3,5.0,1.524,1.5,2.0,3.0,4.0,7.0,27.432,27.19656,0.6,1.0,1.0,0.8,1.7,5.712000000000001,,,,,0.97714,0.230630184417441,0.25034059542528,,3.5316,9.81,7.5,1.0,,18.0,9.81
