Z_m,N1_60,Fp75mm_pct,dw_m,svo_kPa,s0vo_kPa,at_g,tav_over_s0vo,Vs_mps,f0_deg,Mv,amax_g,Liquefaction,GRNN
13.2,25.0,7.0,2.0,257.4,147.6,0.05,0.17,200.0,36.97,7.6,0.18,No,No
14.8,26.0,20.0,2.0,292.1,166.5,0.04,0.16,200.0,37.66,7.6,0.18,No,No
16.2,17.0,10.0,2.0,323.4,184.1,0.04,0.15,200.0,34.7,7.6,0.18,No,No
17.8,21.0,6.0,2.0,358.3,203.3,0.04,0.14,200.0,36.61,7.6,0.18,No,No
19.2,10.0,29.0,2.0,388.9,220.2,0.06,0.13,250.0,31.49,7.6,0.18,No,No
2.2,7.0,59.0,1.1,36.4,25.7,0.08,0.17,118.0,26.93,7.6,0.18,Yes,Yes
3.8,10.0,17.0,1.1,66.5,40.0,0.05,0.19,118.0,28.49,7.6,0.18,Yes,Yes
5.2,9.0,61.0,1.1,93.6,53.4,0.06,0.2,150.0,28.49,7.6,0.18,Yes,Yes
6.8,10.0,15.0,1.1,124.0,68.1,0.05,0.21,150.0,29.17,7.6,0.18,Yes,Yes
8.2,16.0,15.0,1.1,153.5,83.9,0.05,0.2,167.0,32.0,7.6,0.18,Yes,Yes
9.8,13.0,98.0,1.1,186.9,101.6,0.04,0.2,167.0,31.34,7.6,0.18,No,No
11.2,20.0,20.0,1.1,212.2,113.1,0.07,0.2,235.0,34.28,7.6,0.18,No,No
12.8,25.0,7.0,1.1,244.1,129.3,0.07,0.19,235.0,36.25,7.6,0.18,No,No
14.2,19.0,18.0,1.1,275.1,146.6,0.06,0.18,235.0,34.7,7.6,0.18,No,No
15.8,24.0,18.0,1.1,308.0,163.8,0.06,0.16,235.0,36.97,7.6,0.18,No,No
17.2,21.0,10.0,1.1,339.4,181.4,0.05,0.15,235.0,36.25,7.6,0.18,No,No
18.8,16.0,98.0,1.1,374.6,201.0,0.06,0.14,250.0,30.09,7.6,0.18,No,No
1.2,7.0,85.0,2.3,17.7,17.7,0.18,0.12,130.0,29.01,7.6,0.18,No,No
2.8,6.0,30.0,2.3,43.5,38.6,0.08,0.13,130.0,26.93,7.6,0.18,Yes,Yes
4.2,5.0,90.0,2.3,70.4,51.8,0.07,0.16,147.0,26.0,7.6,0.18,Yes,Yes
6.8,6.0,99.0,2.3,118.2,74.1,0.04,0.18,147.0,27.35,7.6,0.18,Yes,Yes
8.8,7.0,94.0,2.3,156.3,92.6,0.03,0.19,147.0,28.12,7.6,0.18,Yes,Yes
10.1,18.0,23.0,2.3,180.5,103.9,0.01,0.19,97.0,33.19,7.6,0.18,No,No
11.8,13.0,31.0,2.3,213.8,120.6,0.01,0.18,97.0,31.49,7.6,0.18,No,No
13.2,11.0,94.0,2.3,241.0,134.1,0.02,0.18,133.0,34.77,7.6,0.18,No,No
14.8,18.0,67.0,2.3,272.3,149.7,0.02,0.17,133.0,34.28,7.6,0.18,No,No
16.2,11.0,30.0,2.3,300.7,164.3,0.02,0.16,133.0,31.22,7.6,0.18,No,No
17.8,18.0,20.0,2.3,331.9,179.9,0.02,0.15,133.0,35.1,7.6,0.18,No,No
19.2,43.0,29.0,2.3,361.1,195.3,0.02,0.14,133.0,43.75,7.6,0.18,No,No
1.2,25.0,81.0,2.3,16.4,16.4,0.15,0.12,120.0,34.34,7.6,0.18,No,No
2.8,5.0,99.0,2.3,40.1,35.1,0.07,0.13,120.0,27.34,7.6,0.18,No,No
4.2,6.0,19.0,2.3,64.4,45.7,0.09,0.16,167.0,26.93,7.6,0.18,Yes,Yes
5.8,7.0,99.0,2.3,96.1,61.8,0.06,0.18,159.0,30.19,7.6,0.18,No,No
7.2,7.0,99.0,2.3,121.2,73.1,0.05,0.19,159.0,31.72,7.6,0.18,No,No
8.8,7.0,99.0,2.3,150.1,86.4,0.04,0.19,159.0,30.74,7.6,0.18,No,No
10.2,6.0,99.0,2.3,175.3,97.8,0.04,0.19,159.0,30.41,7.6,0.18,No,No
11.8,8.0,66.0,2.3,203.1,110.0,0.03,0.19,159.0,29.17,7.6,0.18,Yes,Yes
13.2,21.0,10.0,2.3,229.7,122.8,0.05,0.18,207.0,34.7,7.6,0.18,No,No
14.8,19.0,8.0,2.3,262.4,139.8,0.05,0.17,207.0,34.7,7.6,0.18,No,No
16.2,16.0,7.0,2.3,291.6,155.3,0.04,0.16,207.0,33.86,7.6,0.18,No,No
17.2,8.0,82.0,2.3,313.0,166.8,0.04,0.15,207.0,30.1,7.6,0.18,No,No
19.2,10.0,97.0,2.3,351.7,185.9,0.05,0.14,235.0,31.92,7.6,0.18,No,No
2.8,13.0,80.0,0.99,50.9,33.2,0.06,0.38,113.0,29.8,7.6,0.38,Yes,Yes
4.2,8.0,80.0,0.99,78.6,47.1,0.08,0.41,155.0,27.75,7.6,0.38,Yes,Yes
5.4,13.0,90.0,0.99,101.8,58.5,0.09,0.42,194.0,30.39,7.6,0.38,Yes,Yes
7.2,15.0,90.0,0.99,138.0,77.1,0.08,0.43,205.0,31.49,7.6,0.38,Yes,Yes
9.2,15.0,82.0,0.99,179.3,98.7,0.06,0.42,188.0,32.0,7.6,0.38,Yes,Yes
11.2,16.0,90.0,0.99,219.5,119.3,0.06,0.4,206.0,32.96,7.6,0.38,Yes,Yes
12.2,18.0,95.0,0.99,239.3,129.3,0.05,0.39,206.0,36.88,7.6,0.38,No,No
13.8,17.0,88.0,0.99,271.8,146.1,0.07,0.37,242.0,33.86,7.6,0.38,Yes,Yes
15.2,21.0,78.0,0.99,299.5,160.1,0.08,0.35,281.0,35.87,7.6,0.38,No,No
1.2,30.0,43.0,0.7,39.7,34.8,0.23,0.28,149.0,35.1,7.6,0.38,No,No
3.2,15.0,10.0,0.7,84.1,59.6,0.05,0.35,113.0,30.95,7.6,0.38,Yes,Yes
6.2,20.0,32.0,0.7,150.4,96.4,0.09,0.37,205.0,33.86,7.6,0.38,Yes,Yes
8.6,13.0,57.0,0.7,206.1,128.6,0.06,0.37,195.0,32.0,7.6,0.38,Yes,Yes
10.2,18.0,38.0,0.7,237.1,143.9,0.05,0.37,188.0,34.28,7.6,0.38,Yes,Yes
12.2,21.0,19.0,0.7,279.2,166.3,0.05,0.36,206.0,35.87,7.6,0.38,Yes,Yes
13.2,33.0,58.0,0.7,299.8,177.2,0.07,0.35,242.0,40.2,7.6,0.38,No,No
14.8,62.0,11.0,0.7,333.6,195.3,0.08,0.33,281.0,48.35,7.6,0.38,No,No
16.2,49.0,26.0,0.7,362.6,210.5,0.08,0.31,281.0,45.69,7.6,0.38,No,No
1.2,41.0,22.0,5.0,24.8,24.8,0.27,0.25,161.0,36.97,7.6,0.38,No,No
4.2,10.0,42.0,5.0,67.6,67.6,0.08,0.24,161.0,29.17,7.6,0.38,No,No
5.8,9.0,25.0,5.0,96.8,89.0,0.08,0.26,184.0,29.17,7.6,0.38,Yes,Yes
7.2,23.0,19.0,5.0,125.1,103.5,0.07,0.29,184.0,35.1,7.6,0.38,Yes,Yes
8.8,14.0,43.0,5.0,161.1,123.8,0.05,0.3,184.0,32.0,7.6,0.38,Yes,Yes
10.2,18.0,55.0,5.0,189.6,138.6,0.05,0.31,184.0,36.37,7.6,0.38,No,No
11.8,13.0,85.0,5.0,221.9,155.2,0.04,0.31,184.0,36.71,7.6,0.38,No,No
13.2,17.0,80.0,5.0,250.4,169.9,0.07,0.3,250.0,42.0,7.6,0.38,No,No
14.8,18.0,97.0,5.0,282.2,186.1,0.07,0.29,250.0,52.08,7.6,0.38,No,No
17.8,31.0,80.0,5.0,342.5,217.0,0.08,0.27,294.0,40.49,7.6,0.38,No,No
19.2,38.0,29.0,5.0,371.3,232.0,0.08,0.26,294.0,43.24,7.6,0.38,No,No
1.2,27.0,13.0,1.5,21.5,21.5,0.24,0.25,150.0,33.42,7.6,0.38,No,No
3.8,15.0,30.0,1.5,74.1,51.5,0.08,0.35,150.0,30.95,7.6,0.38,Yes,Yes
5.8,14.0,30.0,1.5,115.1,73.0,0.06,0.38,160.0,30.95,7.6,0.38,Yes,Yes
7.2,22.0,6.0,1.5,144.2,88.3,0.05,0.39,160.0,34.28,7.6,0.38,Yes,Yes
10.2,5.0,73.0,1.5,208.0,122.7,0.08,0.38,240.0,31.34,7.6,0.38,No,No
10.8,4.0,97.0,1.5,220.2,129.0,0.08,0.38,240.0,32.48,7.6,0.38,No,No
11.8,16.0,98.0,1.5,240.3,139.3,0.07,0.37,240.0,31.23,7.6,0.38,No,No
13.2,14.0,96.0,1.5,267.4,152.7,0.07,0.36,240.0,30.84,7.6,0.38,No,No
14.8,18.0,98.0,1.5,299.3,168.9,0.06,0.34,240.0,34.58,7.6,0.38,No,No
16.2,18.0,99.0,1.5,326.4,182.2,0.05,0.32,214.0,32.9,7.6,0.38,No,No
17.8,28.0,36.0,1.5,358.2,198.3,0.04,0.3,214.0,39.29,7.6,0.38,No,No
18.8,63.0,16.0,1.5,378.9,209.2,0.04,0.29,214.0,48.98,7.6,0.38,No,No
7.2,6.0,94.0,1.9,147.5,95.5,0.15,0.37,277.0,34.71,7.6,0.38,No,No
8.8,63.0,67.0,1.9,179.4,111.7,0.12,0.37,277.0,34.9,7.6,0.38,No,No
12.0,14.0,75.0,1.9,245.5,146.4,0.17,0.36,363.0,35.1,7.6,0.38,No,No
14.8,36.0,35.0,1.9,302.7,176.2,0.14,0.33,363.0,41.07,7.6,0.38,No,No
16.2,30.0,91.0,1.9,332.1,191.8,0.13,0.31,363.0,39.6,7.6,0.38,No,No
17.8,33.0,49.0,1.9,366.0,210.1,0.12,0.29,363.0,41.07,7.6,0.38,No,No
1.8,4.0,98.0,1.14,29.7,23.2,0.3,0.56,208.0,24.9,7.6,0.67,Yes,Yes
3.2,14.0,51.0,1.14,56.9,36.7,0.06,0.67,122.0,33.77,7.6,0.67,No,No
4.2,8.0,32.0,1.14,76.7,46.7,0.05,0.71,130.0,27.75,7.6,0.67,Yes,Yes
5.2,21.0,46.0,1.14,96.1,56.3,0.05,0.73,145.0,32.96,7.6,0.67,Yes,Yes
6.2,16.0,15.0,1.14,114.1,64.5,0.08,0.75,188.0,31.49,7.6,0.67,Yes,Yes
8.6,18.0,29.0,1.14,163.2,90.0,0.07,0.74,209.0,32.96,7.6,0.67,Yes,Yes
11.2,23.0,33.0,1.14,216.7,118.0,0.08,0.71,239.0,35.49,7.6,0.67,No,No
12.2,36.0,32.0,1.14,238.2,129.7,0.07,0.69,239.0,39.6,7.6,0.67,No,No
13.2,28.0,35.0,1.14,259.7,141.4,0.08,0.67,261.0,37.66,7.6,0.67,Yes,Yes
14.2,58.0,32.0,1.14,281.5,153.4,0.08,0.64,261.0,45.92,7.6,0.67,No,No
2.0,10.0,58.0,0.75,37.7,25.4,0.27,0.65,208.0,36.88,7.6,0.67,No,No
7.2,11.0,55.0,0.75,144.6,81.3,0.07,0.74,188.0,29.8,7.6,0.67,Yes,Yes
10.2,21.0,52.0,0.75,206.5,113.8,0.08,0.72,239.0,34.7,7.6,0.67,Yes,Yes
12.2,24.0,9.0,0.75,248.3,135.9,0.07,0.69,239.0,36.25,7.6,0.67,Yes,Yes
13.2,24.0,15.0,0.75,269.7,147.6,0.08,0.66,261.0,36.61,7.6,0.67,Yes,Yes
14.2,19.0,34.0,0.75,291.4,159.4,0.08,0.64,261.0,35.1,7.6,0.67,Yes,Yes
6.2,13.0,54.0,0.5,123.1,67.2,0.08,0.77,188.0,36.88,7.6,0.67,No,No
8.8,15.0,51.0,0.5,176.8,95.4,0.07,0.76,209.0,32.0,7.6,0.67,Yes,Yes
13.2,20.0,16.0,0.5,270.2,145.6,0.08,0.67,261.0,35.1,7.6,0.67,Yes,Yes
14.2,20.0,21.0,0.5,291.9,157.5,0.08,0.65,261.0,35.49,7.6,0.67,Yes,Yes
15.2,15.0,19.0,0.5,313.2,169.0,0.07,0.62,260.0,33.42,7.6,0.67,Yes,Yes
16.2,30.0,10.0,0.5,334.5,180.5,0.07,0.59,260.0,39.29,7.6,0.67,No,No
17.2,28.0,13.0,0.5,356.3,192.4,0.07,0.56,262.0,38.97,7.6,0.67,No,No
18.2,18.0,5.0,0.5,378.0,204.4,0.06,0.54,262.0,35.49,7.6,0.67,Yes,Yes
19.2,32.0,10.0,0.5,400.1,216.6,0.07,0.52,268.0,40.78,7.6,0.67,No,No
3.8,18.0,19.0,1.57,75.8,54.0,0.06,0.6,130.0,32.0,7.6,0.67,Yes,Yes
8.2,19.0,15.0,1.57,169.1,104.1,0.08,0.67,209.0,33.86,7.6,0.67,Yes,Yes
0.8,8.0,13.0,3.6,12.1,12.1,0.85,0.44,233.0,26.93,7.6,0.67,No,No
1.8,8.0,10.0,3.6,28.9,28.9,0.3,0.44,208.0,27.75,7.6,0.67,No,No
2.8,1.0,13.0,3.6,43.1,43.1,0.07,0.43,122.0,23.46,7.6,0.67,No,No
3.8,4.0,31.0,3.6,58.9,56.9,0.06,0.45,130.0,26.0,7.6,0.67,Yes,Yes
5.2,21.0,10.0,3.6,87.6,71.9,0.05,0.52,145.0,33.42,7.6,0.67,Yes,Yes
6.2,14.0,36.0,3.6,109.2,83.7,0.08,0.55,188.0,31.49,7.6,0.67,Yes,Yes
7.2,18.0,26.0,3.6,131.4,96.0,0.07,0.57,188.0,32.96,7.6,0.67,Yes,Yes
8.2,22.0,33.0,3.6,153.0,107.9,0.08,0.59,209.0,34.7,7.6,0.67,Yes,Yes
9.2,41.0,27.0,3.6,174.9,120.0,0.09,0.59,239.0,40.78,7.6,0.67,No,No
10.2,22.0,26.0,3.6,197.3,132.5,0.08,0.59,239.0,35.49,7.6,0.67,Yes,Yes
11.2,24.0,8.0,3.6,219.8,145.3,0.08,0.59,239.0,36.61,7.6,0.67,Yes,Yes
12.2,21.0,9.0,3.6,242.2,157.8,0.07,0.58,239.0,35.87,7.6,0.67,Yes,Yes
13.2,25.0,67.0,3.6,263.3,169.2,0.08,0.56,261.0,37.32,7.6,0.67,No,No
14.2,22.0,52.0,3.6,284.6,180.6,0.08,0.55,261.0,36.61,7.6,0.67,No,No
15.2,15.0,53.0,3.6,305.8,192.0,0.07,0.53,260.0,33.86,7.6,0.67,Yes,Yes
0.8,14.0,23.0,1.03,13.1,13.1,0.33,0.44,145.0,29.17,7.6,0.67,No,No
3.8,16.0,19.0,1.03,73.7,46.5,0.11,0.68,177.0,30.95,7.6,0.67,Yes,Yes
6.8,23.0,14.0,1.03,136.7,80.1,0.05,0.72,151.0,34.28,7.6,0.67,Yes,Yes
7.8,11.0,10.0,1.03,157.9,91.5,0.04,0.72,143.0,30.39,7.6,0.67,Yes,Yes
9.8,15.0,23.0,1.03,198.9,112.8,0.03,0.71,149.0,32.49,7.6,0.67,Yes,Yes
10.8,17.0,18.0,1.03,219.8,123.9,0.03,0.7,149.0,33.42,7.6,0.67,Yes,Yes
15.8,25.0,18.0,1.03,323.0,178.1,0.05,0.59,224.0,37.66,7.6,0.67,Yes,Yes
17.8,12.0,17.0,1.03,366.9,202.4,0.06,0.54,245.0,32.49,7.6,0.67,Yes,Yes
18.8,26.0,26.0,1.03,387.9,213.5,0.05,0.52,245.0,38.65,7.6,0.67,No,No
19.8,28.0,17.0,1.03,408.9,224.7,0.06,0.5,265.0,39.6,7.6,0.67,No,No
1.2,11.0,49.0,3.2,19.3,19.3,0.18,0.44,130.0,28.49,7.6,0.67,No,No
3.8,18.0,20.0,3.2,64.6,58.7,0.1,0.47,167.0,32.0,7.6,0.67,Yes,Yes
5.8,16.0,50.0,3.2,108.7,83.2,0.07,0.55,179.0,32.0,7.6,0.67,Yes,Yes
7.2,16.0,40.0,3.2,138.4,99.2,0.06,0.58,179.0,32.49,7.6,0.67,Yes,Yes
8.8,15.0,72.0,3.2,171.8,116.9,0.05,0.6,179.0,42.81,7.6,0.67,No,No
10.2,13.0,65.0,3.2,200.9,132.3,0.05,0.61,179.0,32.0,7.6,0.67,Yes,Yes
11.8,27.0,27.0,3.2,234.0,149.6,0.04,0.6,179.0,37.66,7.6,0.67,No,No
13.2,30.0,20.0,3.2,263.2,165.1,0.04,0.58,179.0,38.97,7.6,0.67,No,No
14.8,35.0,49.0,3.2,296.9,183.1,0.03,0.55,179.0,41.07,7.6,0.67,No,No
18.8,24.0,45.0,3.2,386.7,233.7,0.03,0.47,179.0,38.65,7.6,0.67,No,No
1.2,3.0,65.0,0.5,21.7,14.8,0.11,0.64,104.0,24.24,7.6,0.67,Yes,Yes
3.8,8.0,61.0,0.5,74.0,41.6,0.04,0.77,104.0,27.75,7.6,0.67,Yes,Yes
5.8,9.0,75.0,0.5,115.4,63.4,0.07,0.77,167.0,36.05,7.6,0.67,No,No
7.5,25.0,45.0,0.5,151.7,83.0,0.05,0.76,167.0,35.1,7.6,0.67,Yes,Yes
8.8,21.0,44.0,0.5,179.1,97.7,0.05,0.75,167.0,34.28,7.6,0.67,Yes,Yes
10.2,24.0,51.0,0.5,208.5,113.4,0.04,0.73,167.0,35.49,7.6,0.67,No,No
11.8,27.0,58.0,0.5,242.3,131.4,0.04,0.7,167.0,36.97,7.6,0.67,No,No
13.2,17.0,77.0,0.5,270.8,146.3,0.03,0.67,167.0,36.97,7.6,0.67,No,No
14.8,38.0,29.0,0.5,304.7,164.4,0.03,0.63,167.0,41.35,7.6,0.67,No,No
16.2,13.0,72.0,0.5,334.1,180.1,0.06,0.59,250.0,36.97,7.6,0.67,No,No
17.8,13.0,76.0,0.5,367.5,197.7,0.06,0.55,250.0,34.97,7.6,0.67,No,No
19.2,11.0,82.0,0.5,396.8,213.3,0.1,0.52,333.0,34.46,7.6,0.67,No,No
1.2,27.0,36.0,1.4,20.4,20.4,0.18,0.44,130.0,33.42,7.6,0.67,No,No
3.8,14.0,69.0,1.4,70.3,46.7,0.06,0.65,130.0,30.39,7.6,0.67,Yes,Yes
5.8,16.0,22.0,1.4,109.3,66.2,0.04,0.7,130.0,31.49,7.6,0.67,Yes,Yes
7.2,19.0,70.0,1.4,139.1,82.2,0.08,0.71,200.0,32.96,7.6,0.67,Yes,Yes
8.8,28.0,71.0,1.4,173.1,100.5,0.05,0.71,182.0,37.25,7.6,0.67,No,No
10.2,21.0,71.0,1.4,202.9,116.6,0.05,0.69,182.0,34.7,7.6,0.67,Yes,Yes
13.2,18.0,74.0,1.4,266.4,150.6,0.04,0.64,182.0,34.1,7.6,0.67,No,No
14.8,23.0,40.0,1.4,299.3,167.8,0.04,0.61,182.0,36.61,7.6,0.67,No,No
16.2,37.0,35.0,1.4,328.6,183.5,0.03,0.57,182.0,41.63,7.6,0.67,No,No
17.8,16.0,67.0,1.4,362.9,202.0,0.03,0.53,182.0,38.27,7.6,0.67,No,No
19.2,17.0,67.0,1.4,391.8,217.2,0.03,0.51,182.0,37.54,7.6,0.67,No,No
